[2025-10-31 01:30:24] 📜 Logger initialized. Logs will be saved to ./checkpoint/model_20251031_013024/train.log
[2025-10-31 01:30:24] 🚀 Device: cuda:6
[2025-10-31 01:30:24] 📂 Data: /dshome/ddualab/gyu/kamp/data/2. 소성가공 품질보증 AI 데이터셋.csv
[2025-10-31 01:30:24] 💾 Save Path: ./checkpoint/model_20251031_013024
[2025-10-31 01:30:24] 📊 Loading deformation dataloaders...
[2025-10-31 01:30:24] ✅ Dataloaders ready (Train=1204 | Val=254 | Test=254)
[2025-10-31 01:30:25] 🧠 Start training for 100 epochs
[2025-10-31 01:30:25] [Epoch 001] Train Loss: 0.784644 | Val Loss: 0.637555
[2025-10-31 01:30:25] 💾 Best model saved at epoch 1 (Val Loss=0.637555)
[2025-10-31 01:30:25] [Epoch 002] Train Loss: 0.759992 | Val Loss: 0.610423
[2025-10-31 01:30:25] 💾 Best model saved at epoch 2 (Val Loss=0.610423)
[2025-10-31 01:30:26] [Epoch 003] Train Loss: 0.720088 | Val Loss: 0.558048
[2025-10-31 01:30:26] 💾 Best model saved at epoch 3 (Val Loss=0.558048)
[2025-10-31 01:30:26] [Epoch 004] Train Loss: 0.650118 | Val Loss: 0.532979
[2025-10-31 01:30:26] 💾 Best model saved at epoch 4 (Val Loss=0.532979)
[2025-10-31 01:30:26] [Epoch 005] Train Loss: 0.614520 | Val Loss: 0.510535
[2025-10-31 01:30:26] 💾 Best model saved at epoch 5 (Val Loss=0.510535)
[2025-10-31 01:30:26] [Epoch 006] Train Loss: 0.580836 | Val Loss: 0.481017
[2025-10-31 01:30:26] 💾 Best model saved at epoch 6 (Val Loss=0.481017)
[2025-10-31 01:30:27] [Epoch 007] Train Loss: 0.618095 | Val Loss: 0.443575
[2025-10-31 01:30:27] 💾 Best model saved at epoch 7 (Val Loss=0.443575)
[2025-10-31 01:30:27] [Epoch 008] Train Loss: 0.505376 | Val Loss: 0.413550
[2025-10-31 01:30:27] 💾 Best model saved at epoch 8 (Val Loss=0.413550)
[2025-10-31 01:30:27] [Epoch 009] Train Loss: 0.467238 | Val Loss: 0.382699
[2025-10-31 01:30:27] 💾 Best model saved at epoch 9 (Val Loss=0.382699)
[2025-10-31 01:30:27] [Epoch 010] Train Loss: 0.484549 | Val Loss: 0.356526
